"id_source";"source_type";"startyear";"endyear";"source_name";"geography";"number_reg";"number_person";"source_date";"characterset";"date_links";"archive";"contact";"email";"phone";"remark"
1;"BS; DTB; MvS";1600;1957;"GENLIAS";"It Tresoar";"14 miljoen";"50 miljoen";;;1-10-2009 0:00:00;"GENLIAS";"Frank Bosmans";;;"GENLIAS bestaat uit 37 relevante deelbestanden (archieven), deze zijn genummerd van 101 t/m 137 en als subset opgenomen"
2;"BS";;;"Digitale Stamboom  (R'dam, Haarlem, Delft)";;;;;;;;;;;
3;"DTB";;;"Digitale Stamboom  (R'dam, Haarlem, Delft)";;;;;;;;;;;
5;"Pop Register";1851;1856;"Population Register Amsterdam 1851-1853(1856)";"City Archive Amsterdam";"606.094";"606.094";1-1-2012 0:00:00;;;;;;;
10;"BS";1811;1922;"HSN basic File HSNRPxxx";"IISG";"82.000";;1-8-2013 0:00:00;;;;"Kees Mandemakers";;;
20;;;;"Haarlemse Spoorweg Arbeiders";;;;;;;;;;;
101;;;;"GENLIAS Webmaster";;;;;;1-10-2009 0:00:00;;;;;
110;"BS; DTBD";;;"Streekarchief Voorne-Putten en Rozenburg";;"189.308";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
111;"BS";;;"Groninger Archieven";;"1.354.458";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
112;"BS";;;"Tresoar, Frysk Histoarysk en Letterkundich Sintrum";;"1.809.059";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
113;"BS; MvS";;;"Drents Archief";;"792.065";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
114;"BS";;;"Historisch Centrum Overijssel";;"1.192.379";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
115;"BS";;;"Gelders Archief";;"1.881.516";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
116;"BS; DTBT; MvS";;;"Het Utrechts Archief";;"1.355.059";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
117;"BS";;;"Noord-Hollands Archief";;"452.685";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
118;"BS";;;"Nationaal Archief (Rijksarchief Zuid-Holland)";;"366.644";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
119;"BS";;;"Zeeuws Archief";;"385.194";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
120;"BS; DTBD; MvS";;;"Brabants Historisch Informatie Centrum";;"1.140.506";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
121;"BS";;;"Regionaal Historisch Centrum Limburg";;"1.391.771";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
122;"BS; DTB";;;"Nieuw Land Erfgoedcentrum";;"23.248";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
124;"BS";;;"Historisch Archief Westland";;"165.531";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
125;"BS";;;"Rijnlands Midden";;"127.661";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
126;"BS";;;"Gemeentearchief Wassenaar";;"26.625";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
127;"BS";;;"Gemeentearchief Oegstgeest";;"21.288";;8-1-2010 0:00:00;;1-10-2009 0:00:00;;;;;
